ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B0CTSTD86C,Mipcase 8 Pcs Armpit Ladies Razors Pubic Hair Trimmer Women Grooming Razors for Women Womens Razors Rasuradoras Para Mujeres Hair Trimmer for Women Miss Resin Care Beauty Tools,razors,women,,,,26.39,
B0CTJLHRL1,"3 Blades for smooth shave, Multipurpose Hair Remover, Women's Disposable Razors with moisture bar",razors,women,,,,7.99,
B0CTRZMZ8Z,Ladies quadruble blade disposable razor. # 2 sets,razors,women,,,,17.15,
B0CTJNRQSY,"3 Blades for smooth shave, Multipurpose Hair Remover, Women's Disposable Razors with moisture bar",razors,women,,,,11.99,
B0CTCCDQ7G,"5-Blade Razor for Women, Handle, 3 Count-Pink",razors,women,,,,5.69,
B0CTC6LYLL,"5-Blade Razor for Women, Handle, 3 Count-Green",razors,women,,,,5.99,
B0CRG5V82V,"Bliss Women's 24 Pack Hair Removal Razor Set: 12 Pack Disposable Blade Razors for Sensitive Skin, 12 Pack Dermaplaning Tool for Peach Fuzz, Size 24 Pack, Assorted",razors,women,,,,19.99,
B0CTH4Z6BN,"Envision Eyebrow Razors for Women, Dermaplane Razor Razors, Eyebrow Trimmer Dermaplaning Tool for Safe and Easy Thanksgiving Gift, Stocking Stuffer 5 PACKS (15 RAZORS)",razors,women,,,,9.99,
B0CSXQX5C3,12 pcs | Dermaplaning Tool for Face - Face Razors for Women | Facial Hair Removal | Eyebrow Razor & Face Shaver| Dermaplane Razor for Women Face,razors,women,,,,8.0,
B0CT8KW5W2,3Pcs Women Hair Removal Tool Single Blade Razors Leg Face Underarm Shaver Sharp Gentle Stainless Steel Hair Shaver 3pcs,razors,women,,,,0.99,
B0CSYDPM2Q,"Dermaplaning razor for Women Face Exfoliation, Facial Razors for Women with 4 Replaceable Blades, Razors for Women",razors,women,,,,14.99,
B0CT6413LJ,"Envision Eyebrow Razors for Women, Dermaplane Razor 3 Razors, Eyebrow Trimmer Dermaplaning Tool for Safe and Easy Thanksgiving Gift, Stocking Stuffer",razors,women,,,,7.99,
B0CPF8QDK7,"Face Razors for Women Face, 12 Pcs Face Dermaplaning Razor for Hair Removal, Dermaplane Tool for Sensitive Skin, Women Facial Razor that Helps Exfoliate/Smooth the Skin (Blue)",razors,women,,,,9.99,
B0CSCXQZ9B,Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – DreamPop & Whipped Shave Cream - Lavender & Bergamot Scent - 6.5 fl oz,razors,women,,,,22.96,
B0CSFWCVMC,Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Malibu & Whipped Shave Cream - Lavender & Bergamot Scent - 6.5 fl oz,razors,women,,,,22.96,
B0CSFVYSLC,Razors for Women Shave Kit – Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Minty & Whipped Shave Cream - Lavender & Bergamot Scent - 6.5 fl oz,razors,women,,,,22.96,
B0CSCYKJDC,Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Cool Blue & Whipped Shave Cream - Lavender & Bergamot Scent - 6.5 fl oz,razors,women,,,,22.96,
B0CSTC1M4Z,"BIC Twin Lady, Disposable Razors, Razors for Women, Twin Blade Razor, Womens Razors for Shaving, 10 Pack, Includes Storage Pouch",razors,women,,,,12.95,
B0CSYLWMSL,Schick Quattro Ultra Smooth Razor Blade Refills for Women Value Pack & Schick Hydro Silk Touch-Up Exfoliating Dermaplaning Tool,razors,women,9066.0,4.8,,26.17,
B0CRG5JBD5,"Gillette Venus Women's Simply 3 Ready Razor - 3 Colors, 6-Pack With Carry Pouch for Clean Storage",razors,women,,,,19.99,
B0CRR1L1T8,"Women's Disposable Razors, 5 Blades With a Moisture Strip For a Smoother Shave, 3 Count",razors,women,2.0,5.0,,5.69,
B0CRR53464,"Razors for Women, 5 Blades For a Smoother Shave 3 Count",razors,women,6.0,5.0,,5.99,
B0CSLKQ3KB,Balacoo 2pcs Armpit Womens Razors for Shaving Electric Women Body Shaver Womens Razors with Bars Face Razor,razors,women,,,,11.59,
B0CSFW6R9J,Razors for Women Shave Kit – Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Minty & Women’s Razor Refill Blades 5-Blade Cartridges - 4 count,razors,women,,,,24.96,
B0CSFW7ZB4,Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Malibu & Body Buffer - Pre-shave Exfoliating Bar - 3.5 oz,razors,women,,,,21.98,
B0CSFX9NQR,Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Malibu & V Smooth - Shave Gel + Cleanser for Pubic Hair & Skin - pH-Balanced,razors,women,,,,26.03,
B0CSD5XWQB,"Trimstyle Bikini Razors with Trimmer & Touch-Up Exfoliating Dermaplaning Tool, Face & Eyebrow Razor with Precision Cover- 3 Count | Dermaplaning Razor For Women",razors,women,4658.0,4.6,,27.5,
B0CSD3K1B1,Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Cool Blue & Women’s Razor Refill Blades 5-Blade Cartridges - 4 count,razors,women,,,,24.96,
B0CSD1W6DN,Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Cool Blue & Body Buffer - Pre-shave Exfoliating Bar - 3.5 oz,razors,women,,,,21.98,
B0CSCZMXD8,Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – DreamPop & Body Buffer - Pre-shave Exfoliating Bar - 3.5 oz,razors,women,,,,21.98,
B0CSD17T7Y,"Sensitive Skin Razor for Women With 5 Moisturizing Razor Blade Refills & Moisturizing Razor Blade Refills for Women with Shower Hanger, 6 Count (Pack of 1)",razors,women,,,,35.96,
B0CP3KNFR2,"Disposable Razors, Twin Blade Shaving Razor Pink Stainless Steel Blade Bulk for Men Women Camping Traveling Home 30 Count",razors,women,1.0,5.0,,9.95,
B0CQZ1KXZG,3PCS Eyebrow Razor Face Razors Face Shaver Eyebrow Hair Trimmers for Women,razors,women,,,,5.99,
B0CS1BP3R8,"Flexi Body Razors for Women - 3 | Hair Remover for Arms, Underarms, Bikini, Legs (Pack of 3)",razors,women,,,,,
B0CQMBVRNF,"Micro Grooved Derma Blades Facial Razor, Wheat Straw Facial Razor for Women and Men, Eyebrow Razor, Bikini Razor, Hair Trimmer, Facial Hair Remover",razors,women,,,,4.99,
B0CRYP8MRS,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Wax Roll on Nose Hair Removal (Hot Pink, One Size)",razors,women,,,,2.49,
B0CRPTPHBQ,"Facial Razor (3 Count) Dermaplaning Tool with Protective Cover, Hair Removal Kit for Face, Lips & Eyebrow, Brow Shaper, Eyebrow Razor, Precision Face Shaving Exfoliation Grooming Beauty Essential",razors,women,,,,4.99,
B0CP91KGGQ,Women's Shaving Knife Manual Painless Razor Mini Armpit Hair Shaver with Owned Storage Box Flexible Floating Cutter Head,razors,women,,,,10.14,
B0CRPT5KCC,Balacoo 1 Set Small Head Soft Toothbrush Stainless Steel Razor Exfoliator Tool Afeitadoras Para Mujeres Shaver for Men Pink Eyebrow Trimmer Pp Razor Portable Accessories Remover Miss,razors,women,,,,11.09,
