ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B08SSM21R4,"Redken All Soft Shampoo | Deeply Moisturizes and Hydrates | Softens, Smooths, and Adds Shine | Safe for Color-Treated Hair | Nourishing Shampoo for Dry Hair | With Argan Oil",shampoo,women,10,18753,4.7,,$26.00
B01CTNRVFM,"Moroccan Argan Oil Shampoo and Conditioner Set - Sulfate Free, Anti Frizz Hydrating Care for Women - Deep Moisturizing Treatment for Color, Keratin Treated, Curly, Damaged and Dry Hair",shampoo,women,1,11915,4.4,,$19.99
B0891843GC,Pureology Hydrate Moisturizing Shampoo | Softens and Deeply Hydrates Dry Hair | For Medium to Thick Color Treated Hair | Sulfate-Free | Vegan,shampoo,women,9,14250,4.7,,$37.00
B00IW2AYN6,Biolage Volume Bloom Shampoo | Volumizing Shampoo | Lightweight Volume &amp; Shine | For Fine Hair | Paraben &amp; Silicone-Free | Vegan​ | Cruelty Free | Salon Shampoo,shampoo,women,34,11526,4.7,,$42.00
B00C5AHTVQ,"Nexxus Shampoo and Conditioner Therappe Humectress (Set of 2)for Dry Hair Silicone-Free, Moisturizing Caviar Complex and Elastin Protein 33.8 oz",shampoo,women,68,16647,4.7,,$37.31
B08SSCH7YR,"Volume Injection Shampoo | Lightweight Volume Shampoo For Fine Hair | Adds Volume, Lift, and Body to Flat Hair | Paraben Free",shampoo,women,10,5445,4.5,,$26.00
B002WTC3AW,Color Extend Shampoo | For Color-Treated Hair | Cleanses Hair Leaving It Manageable &amp; Shiny,shampoo,women,34,7251,4.7,,$35.00
B08918B4NQ,"Pureology Pure Volume Shampoo | For Flat, Fine, Color-Treated Hair | Adds Lightweight Volume and Body | Clarifies Buildup | Sulfate-Free | Vegan",shampoo,women,9,4486,4.3,,$37.00
B08SSPQGZW,Extreme Length Shampoo | Infused With Biotin | For Hair Growth | Prevents Breakage &amp; Strengthens Hair,shampoo,women,10,6711,4.6,,$26.00
B00OO0J9UY,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",shampoo,women,13,8325,4.5,,$9.79
B06XTG99F9,"Dr. Squatch Citrus &amp; Cypress Men&#x27;s Shampoo + Conditioner Hair Bundle - Keeps Hair Looking Full, Healthy, Hydrated",shampoo,men,1,8649,4.5,,$37.95
B00K34NH4O,"by Paul Mitchell Heavy Hitter Daily Deep Cleansing Shampoo for Men, For All Hair Types",shampoo,men,34,1700,4.6,,$34.00
B08SMH2DST,"American Crew Shampoo for Men, Daily Cleanser, Naturally Derived, Vegan Formula, Citrus Mint Fragrance, 33.8 Fl Oz",shampoo,men,34,2345,4.6,,$19.90
B00C5AHTVQ,"Nexxus Shampoo and Conditioner Therappe Humectress (Set of 2)for Dry Hair Silicone-Free, Moisturizing Caviar Complex and Elastin Protein 33.8 oz",shampoo,men,68,16647,4.7,,$37.31
B005OTVVWS,"MITCH by Paul Mitchell Double Hitter 2-in-1 Shampoo &amp; Conditioner for Men, For All Hair Types",shampoo,men,34,3360,4.7,,$48.50
B096SYN2DM,Hawthorne Men&#x27;s Thickening Shampoo and Conditioner Hair Set. Includes Thickening Shampoo and Weightless Conditioner. 8 Fl Oz Each.,shampoo,men,16,61,4.2,,$23.99
B0C5S4JNX2,"Huron Men’s Shampoo &amp; Conditioner Set - Clean &amp; Invigorating Scent - Hydrating, &amp; Nourishing Shampoo &amp; Conditioner for Men - Vegan Ingredients &amp; Cruelty Free",shampoo,men,24,137,4.5,,$32.00
B0BX41PG6P,Viking Revolution Biotin Mens Shampoo - Eucalyptus and Peppermint Shampoo with Jojoba Oil and Mint Oil - Hair Loss Shampoo for Men with Biotin - Mens Shampoo for Thinning Hair (17 Oz),shampoo,men,17,515,4.6,,$17.88
B08BTMXSG6,TRESemmé Shampoo Moisture Rich 3 Count for Dry Hair Professional Quality Salon-Healthy Look and Shine Moisture Rich Formulated with Vitamin E and Biotin 28 oz,shampoo,men,86,4284,4.7,,$17.97
B0C6FK2ZVG,Viking Revolution Spiced Vanilla Mens Shampoo and Conditioner Set with Biotin and Jojoba Oil - Natural Hair Shampoo and Hair Conditioner for Men with Vitamin B5 - Mens Shampoo for Thinning Hair (17Oz),shampoo,men,34,249,4.6,,$27.88
B00SWDHC5I,"Brickell Men&#x27;s Products Daily Strengthening Shampoo for Men, Natural and Organic Featuring Mint and Tea Tree Oil To Soothe Dry and Itchy Scalp, Sulfate Free and Paraben Free, 8 Ounce, Scented",shampoo,men,8,5743,4.4,,$20.00
B0CP6D683W,"DOVE MEN+CARE DV M SH Charcoal 4p 31z Pump Purifying Shampoo Charcoal + Clay for Stronger, More Resilient Hair, with Plant-Based Cleansers, 31 oz",shampoo,men,31,31,4.9,,$9.99
B0C9V8BVZ7,"Every Man Jack 2-in-1 Daily Shampoo + Conditioner - Pacific Cypress | Nourishing For All Hair Types, Naturally Derived, Cruelty-Free Shampoo and Conditioner Set for Men | 24oz -1 Bottle",shampoo,men,24,1955,4.5,,$17.99
B08LRC6RJB,"Old Spice Pure Sport 2in1 Shampoo and Conditioner for Men, Twin Pack, Lemon, 58.4 Fl Oz",shampoo,men,59,2581,4.7,,$21.31
B07GB3NVN1,"Native Deodorant | Natural Deodorant for Women and Men, 72 Hour Odor Control Aluminum Free with Baking Soda, Coconut Oil and Shea Butter | Coconut &amp; Vanilla",deodorant,women,3,83763,4.4,,$12.97
B00Q70QF9C,Degree Clinical Protection Antiperspirant Deodorant 72-Hour Sweat &amp; Odor Protection 5-in-1 Antiperspirant for Women 1.7 oz,deodorant,women,2,5841,4.6,,$7.14
B0CBCVPT69,Degree Advanced Antiperspirant Deodorant Vanilla &amp; Jasmine 72-Hour Sweat &amp; Odor Protection Antiperspirant For Women with MotionSense Technology 2.6 oz,deodorant,women,3,115,4.7,,$4.87
B07V25J4J3,"Dove Aluminum Free Deodorant for Women 24-Hour Odor Protection, Coconut and Pink Jasmine, White, 2.6 Ounce (Pack of 3)",deodorant,women,8,16185,4.4,,$18.54
B00TJ6WLN0,"Mitchum Women&#x27;s Deodorant, Antiperspirant Stick, Triple Odor Defense Gel, 48 Hr Protection, Shower Fresh, 3.4 Oz (Pack of 2)",deodorant,women,7,18561,4.6,,$6.26
B0C6R59D62,"Plant Therapy Grapefruit Cardamom Natural Deodorant for Men &amp; Women 2.65 oz Aluminum Free, Cruelty Free, Smooth Application, Effective Protection",deodorant,women,3,47,4.3,,$12.99
B0BB15DYTX,"Tom&#x27;s of Maine Complete Protection Aluminum-Free Natural Deodorant for Women, Rose &amp; Vanilla, 2.25 oz",deodorant,women,2,518,4,,$4.79
