ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B0CMRWPYSQ,The Crème Shop Portable Precision Razors + Travel Case | Dermaplaning Tool for Face | Face Razors for Women | Stocking Stuffers for Women (Pack of 2),razors,women,1.0,5.0,,5.0,
B09Z4KF969,"Womens Razors, Reusable Womens Shaving Razors Elastic Sensing with 3 Blades for Women for Private Parts",razors,women,,,,5.15,
B001RYWCWM,Wilkinson Sword Xtreme 3 Beauty Disposable Razor For Women 4 + 2 Free,razors,women,1452.0,4.4,,,
B000M47DPO,"BIC Twin Lady, Pack 5, Twin Blade Razor",razors,women,1846.0,4.4,,5.23,
B0C5D6BK77,"Womens Razors, Lubrication Strip Elastic Sensing Blade Not Scratch Skin Red Womens Shaving Razors for Armpit",razors,women,,,,5.24,
B0CCCVYZPL,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Facial Waxing Warmer (Green, One Size)",razors,women,,,,5.29,
B07HZHPRRR,"Skintimate Warm Vanilla Sugar Disposable Razor for Women, Gently Exfoliates, Four Blades are Designed to Prevent Nicks and Cuts, 3 Count (Pack of 1)",razors,women,367.0,4.2,,,
B0CCCV4KLK,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Facial Waxing Warmer (Light Blue, One Size)",razors,women,,,,5.39,
B0CCCSQN86,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Facial Waxing Warmer (Pink, One Size)",razors,women,,,,5.39,
B0CCCSBXQW,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Facial Waxing Warmer (Yellow, One Size)",razors,women,,,,5.39,
B0CCCRRNJZ,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Facial Waxing Warmer (Hot Pink, One Size)",razors,women,,,,5.39,
B07MPZZ925,"BIC Click 5 Soleil Women's Disposable Razors, 5 Blades With a Moisture Strip For a Smoother Shave, 1 Handle and 3 Cartridges, 4 Piece Razor Set",razors,women,3121.0,4.5,,7.6,
B014HNOXZS,"Dorco Tinkle Eyebrow Razors for Women, Dermaplane Razor 6 Razors, Eyebrow Trimmer Dermaplaning Tool for Safe and Easy Thanksgiving Gift, Stocking Stuffer",razors,women,135799.0,4.6,,5.45,
B01G8C7B4G,finetoday Face Razor (3 pieces),razors,women,34.0,4.6,,5.45,
B003Y78C7E,"Derby Samurai 2 Twin Blade Non-Disposable Razor, 8 Ounce",razors,men,14.0,3.5,,1.49,
B0753L1P2X,Disposable Twin Razor Blades 5 In 1 Pack,razors,men,1.0,3.0,,1.49,
B01K69FJPA,4 Pack Twin Blade Plus Disposable Razors for Men and Women,razors,men,1.0,5.0,,1.95,
B0BZCLGM6C,Razors Bank Storage For Used Disposal Razors Case Beauty Tools Face Jewels,razors,men,,,,2.5,
B0BH8X6HNK,"Twin, Triple and Quadruple Blade Disposable Razors (Twin Blade)",razors,men,15.0,3.2,,2.99,
B005CQ6CG8,Super Max Twin Blade Disposable Razor - 10 Pack,razors,men,14.0,3.8,,,
B08XW2GVHD,FitSand Razor Holder Stand for BIC Comfort 3 Hybrid Men's Disposable Razor - 3 Pack (NOT Including Razor),razors,men,,,,2.99,
B08XWN5HMX,FitSand Razor Holder Stand for BIC Flex 5 Titanium Men's Disposable Razor - 3 Pack (NOT Including Razor),razors,men,,,,2.99,
B07CN8HSH5,"Wilkinson Sword Xtreme 3 Sensitive Disposable Razor Pack of 3, Plus 1 Free",razors,men,74.0,4.4,,3.85,
