ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B00MYK7WPU,Spring Garden Bloom Flower Shea Butter Soap Gift Set,soap,women,11,1012,4.5,,$12.00
B086K1S96X,"DOVE MEN + CARE Bar 3 in 1 Cleanser for Body, Face, and Shaving to Clean and Hydrate Skin Extra Fresh Body and Facial Cleanser More Moisturizing Than Bar Soap 3.75 oz 14 Bars",soap,men,52,25131,4.8,,$11.48
B07NF95CY9,"360 Feel Men&#x27;s Soap bar Handmade -Masculine fragrance-, Patchouli, Pine Tar with Charcoal Beeswax,Citrus - Gift pack- Natural Men Soap- Gift for him Bay Rum, 4 Count (Pack of 1)",soap,men,20,16324,4.3,,$15.14
B002TSA90W,"Dove Men+Care Body and Face Bar More Moisturizing Than Bar Soap Deep Clean Effectively Washes Away Bacteria, Nourishes Your Skin, 3.75 Ounce (Pack of 8)",soap,men,30,12099,4.7,,$10.97
B079FXP68X,"Irish Spring Icy Blast Bar Soap for Men, Mens Soap, Smell Fresh and Clean 12 Hours, Men Bars Washing Hands Body, Mild Skin, Recyclable Carton, 24 Pack, 3.7 Oz",soap,men,89,28088,4.8,,$15.94
B091H17R79,"Bali Soap - Masculine Collection Natural Soap Bar Gift Set, 6 pc Variety Pack, Lemon-Pine, Ginger-Coffee, Sandalwood-Mint, Agarwood-Spice, Clove-Cinnamon, Eucalyptus-Lime 3.5 Oz each",soap,men,21,3567,4.3,,$19.95
B07VF8GPNL,San Francisco Soap Company Midnight Amber Fragrance Man Bar - Moisturizing - No Harmful Chemicals - Good for All Skin Types - Made in the USA,soap,men,1,926,4.6,,$9.99
B09YJXC1WJ,"Dr. Squatch Men&#x27;s Natural Bar Soap from Moisturizing Soap Made from Natural Oils - Cold Process Soap with No Harsh Chemicals - Wood Barrel Bourbon, Fresh Falls, Birchwood Breeze (3 Pack)",soap,men,15,10148,4.6,,$30.45
B01N49QENL,DOVE MEN + CARE Body and Face Bar Minerals + Sage 6 Bars to Hydrate Skin More Moisturizing Than Bar Soap 3.75 oz,soap,men,23,3968,4.7,,$9.00
B0C43ZLQFN,"Every Man Jack Amber + Sandalwood Mens Soap Bar for Body and Hair with Shea Butter, Aloe Vera, and Glycerin to Clean, Hydrate, and Soothe Skin - Naturally Derived, Zero Harmful Chemicals - 3 Pack",soap,men,15,113,4.5,,$19.99
B079FDZBPK,"San Francisco Soap Company Revitalizing Man Bar, Exotic Musk &amp; Sandalwood, 10 Ounce",soap,men,1,871,4.6,,$9.99
B09YN9JPJY,Mens Soap Bar Set 6Pcs Natural Handmade Cleansing Bar Soap Set Moisturizing&amp;Exfoliating Scrub Soap Gift for Men All Skin Type| 6 Different Scents |3.5 oz of 6 Bars,soap,men,25,1074,4.2,,$18.99
