ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B0037LOPQY,"Gillette Venus Tropical Disposable Razors for Women, 3+1 Count, Designed for a Smooth Shave, Tropical Fragrance Scented Handles",razors,women,21863,4.6,,6.94,
B07N6W7RPC,"Gillette Venus ComfortGlide Razors for Women, 1 Razor, 4 Razor Blade Refills, White Tea Scented Gel Bars (Pack of 1)",razors,women,16308,4.6,,16.99,
B002L5WFT6,"BIC Soleil Smooth Scented Women’s Disposable Razor, 3 Blades with a Moisture Strip For a Silky Shave, Assorted, 4 Piece Razor Set",razors,women,10753,4.6,,5.47,
B0787JNN97,"BIC Soleil Smooth Colors Women's Disposable Razors With Aloe Vera and vitamin E Lubricating Strip for Enhanced Glide, With 3 Blades, 14 Count",razors,women,34619,4.6,,18.36,
B000XVSNTQ,"Gillette Venus Extra Smooth Razors for Women, 1 Razor, 2 Blade Refills, Designed for a Close, Smooth Shave",razors,women,11393,4.6,,9.97,
B00AHF1GTM,"Schick Hydro Silk Razor Disposable Razors for Women with Moisturizing Serum, Basic Pack 3 Count",razors,women,12683,4.6,,10.74,
B001JQLNFA,Gillette Venus ComfortGlide White Tea Women's Razor - 1 Handle + 2 Refills,razors,women,8789,4.6,,9.97,
B004B8IDFQ,"BIC Soleil Comfort 4-Blade Disposable Razors for Women Sensitive Skin Razor for a Smooth and Close Shave, 3 Piece Razor Set",razors,women,8105,4.6,,5.47,
B08JHVGTRR,"Gillette Venus Intimate Grooming Womens Razor Blade Refills with Bikini Trimmer, 4 Count (Pack of 1)",razors,women,6387,4.6,,14.49,
B001JQLNCS,"Gillette Venus ComfortGlide Disposable Razors for Women, 2 Count, White Tea Scented Moisture Bars for a Smooth Shave",razors,women,5117,4.6,,6.97,
B07TTJPTJJ,"Gillette ProGlide Shield Premium Edition Razors for Men, 1 Gillette Razor, 8 ProShield Razor Blade Refills, 1 Travel Case",razors,men,2643,4.8,,46.93,
B07T81KPVK,"Schick Hydro 5 Disposable Razors for Men with Flip Beard Trimmer, 9 Count (Pack of 1)",razors,men,1258,4.8,,,
B00MH558N0,Gillette Fusion ProGlide Flexball Razor (4 Cartridges),razors,men,96,4.8,,39.16,
B07DZYGDS3,"Gillette Fusion5 Razors for Men, 1 Razor, 4 Blade Refills, Lubrastrip for a More Comfortable Shave",razors,men,34831,4.7,,20.0,
B07DZYGDSF,"Gillette Fusion ProGlide Razors, Men 1 Gillette Razor, 4 Razor Blade Refills, Shields Against Skin Irritation",razors,men,18631,4.7,,19.97,
B07NTVPK21,"Gillette Mens Razor Blade Refills, 10 Fusion5 Cartridges, 2 ProGlide Cartridges, Lubrastrip for a More Comfortable Shave 12 Count(Pack of 1)",razors,men,19192,4.7,,42.94,
B06X9NWGBX,"Gillette Fusion5 Razor for Men, Handle + 2 Razor Blade Refills",razors,men,12085,4.7,,12.97,
B072M5FFZ5,"Gillette ProGlide Shield Razor for Men, 1 Gillette Razor, 4 Razor Blade Refills, Shields Against Skin Irritation",razors,men,11597,4.7,,23.0,
B06X9PM3GJ,"Gillette ProGlide Razor for Men, Handle + 2 Blade Refills",razors,men,12059,4.7,,16.97,
B07CYH1Y8M,"Gillette Fusion5 Power Razor for Men, 1 Gillette Power Razor Handle + 1 Blade Refill",razors,men,8497,4.7,,12.7,
B06X9M4579,"Gillette ProGlide Power Razor for Men, 1 Gillette Power Razor Handle + 1 Blade Refill",razors,men,7960,4.7,,13.97,
B07C3CRB4S,Gillette Sensor2 Plus Disposable Razor (52 Pack),razors,men,6276,4.7,,30.4,
B09NX77X51,"BIC Flex 5 Titanium 5-Blade Disposable Razor for Men, Sensitive Skin Razor For a Smooth, Comfortable and Close Shave, 4 Piece Razor Set",razors,men,4040,4.7,,10.92,
B01MUWBVV9,Gillette Fusion5 ProShield Razor for Men + 9 Refill Blades with 5 Anti-Friction Blades,razors,men,3723,4.7,,68.67,
B06WWPLGLF,"Gillette ProGlide Chill Razor for Men, Handle + 2 Blade Refills",razors,men,3525,4.7,,,
B0CB6DJ1PF,Gillette ProGlide Shield Men’s 1 Razor Handle + 2 Blade Refills (Pack of 2),razors,men,3487,4.7,,27.94,
B00VBUYGAI,"BIC Flex 3 Titanium Men’s Disposable Razors With 3 Blades, Ideal Razor For Face and Body Shaving, 8 Piece Razor Kit for Men",razors,men,3091,4.7,,13.24,
B0779ZMLXJ,Rockwell Razors 6C White Chrome Double-Edge Safety Razor for Men and Women with 6 Adjustable Shave Settings and 5 Fully Recyclable Eco Razor Blades,razors,men,3029,4.7,,59.99,
B0BPF4L43F,"Gillette Labs with Exfoliating Bar by Men's Razor Set, 1 Shower Hook, Handle, 2 Blade Refills, Silver and Black, Razors for Men, Mens",razors,men,2055,4.7,,24.99,
B06X9T6CWP,"Gillette Fusion5 Razor for Men, Handle + 1 Razor Blade Refill",razors,men,1981,4.7,,9.99,
B01N4NQ9Y0,Men’s Gillette Fusion5 Razor Blades – 1 Pack of 12,razors,men,1269,4.7,,39.99,
B00Q2NMYDA,"Gillette ProGlide Razor for Men, Handle + 1 Blade Refill",razors,men,1098,4.7,,15.29,
B07GCCM926,"BIC Flex 4 Titanium Sensitive Disposable Razors For Men, For a Smooth, Ultra-Close and Comfortable Shave, 10 Piece DIsposable Razor Set with 4 Blades",razors,men,916,4.7,,17.99,
B071HPJDWW,Gillette ProGlide Men's Razor Handle + 1 Blade Refill,razors,men,656,4.7,,,
B07HM9KJCC,Barbasol Ultra 6 Plus Premium Disposable Razor Value Pack Bundle (3 Packs/9 Total Razors),razors,men,591,4.7,,24.99,
B0043OWE58,"Schick Silk Effects Plus Razor Refill, 5-Count (Pack of 2)",razors,men,445,4.7,,15.51,
B00UB7827A,"Gillette Razor, 8 Count (Pack of 1)",razors,men,429,4.7,,32.95,
B013PZRRH0,"Bic Metal Disposable Men's Shaving Razors, 10-Count x 10 Packs",razors,men,58,4.8,,42.99,
B07KNCNV75,"Disposable Grooming Razor. Easier, Safer, Better (1 Single Razor)",razors,men,411,4.7,,9.99,
B07WLSJBHR,"BIC Flex 5 Men's 5-blade Disposable Razor, For a Smooth and Comfortable Shave, 8-Count Pack of Mens Razors White",razors,men,359,4.7,,,
B07Q4JWVF5,Gillette Fusion5 Proshield Limited Edition Set (Handle + Razor + Stand),razors,men,355,4.7,,14.95,
B074KN11WP,Gillette Sensor2 Disposable Razors 12 ea.(Pack of 2),razors,men,323,4.7,,26.54,
B0047G8Q4K,Gillette Mens Sensor 2 Plus Disposable Razor (10 Count),razors,men,324,4.7,,,
B07T7L8GQT,"BIC Flex 5 Titanium Men's Disposable Razor, Five Blade, Pack of 10 Razors, Flexible Blades for an Ultra-Close Shave,10 Count(Pack of 1)",razors,men,283,4.7,,,
B005D78AWU,"Dynarex Gallant Disposable Prep Razors, Used before ECG and other Procedures, Disposable Razors with Open Design, Ergonomic Surgical Prep Razors, 1 Box of 50 Razors",razors,men,279,4.7,,27.19,
B0140AUB4U,"Bic Metal Men's Disposable Shaving Razors, 5-Count x 10 Packs",razors,men,182,4.7,,19.0,
